node,Lake Eleanor,Lake Eleanor,Don Pedro Reservoir,Don Pedro Reservoir,Cherry Lake,Cherry Lake
IFRs,Baseline,natural_flow,Baseline,natural_flow,Baseline,natural_flow
Date,,,,,,
2001-02-22,1404.5,1404.5,230.571737166011,230.571737166011,1398.0953263525425,1398.0953263525425
2001-02-23,1404.5,1404.5,230.6383658996625,230.6383658996625,1398.1565651052447,1398.1565651052447
2001-02-24,1404.5,1404.5,230.68866023810392,230.68866023810392,1398.1724418188737,1398.1724418188737
2001-02-25,1404.5,1404.5,230.7415948738261,230.7415948738261,1398.2332269511016,1398.2332269511016
2001-02-26,1404.5,1404.5,230.79871443365946,230.79871443365946,1398.258727773047,1398.258727773047
2001-02-27,1404.5,1404.5,230.84073407580772,230.84073407580772,1398.291036987436,1398.2910369874362
2001-02-28,1404.5,1404.5,230.86899049322244,230.86899049322244,1398.3268321315577,1398.3268321315577
2001-03-01,1404.5,1404.5,230.91255607541856,230.91255607541856,1398.383473380266,1398.383473380266
2001-03-02,1404.5,1404.5,230.95303162044863,230.95303162044863,1398.4156804279985,1398.4156804279985
2001-03-03,1404.5,1404.5,230.98932049887412,230.98932049887412,1398.4512093249193,1398.4512093249193
2001-03-04,1404.5,1404.5,231.02988249490818,231.02988249490818,1398.4838699929405,1398.4838699929408
2001-03-05,1404.5,1404.5,231.16147206689726,231.16147206689726,1398.5584395979438,1398.5584395979438
2001-03-06,1404.5,1404.5,231.30180229729933,231.30180229729933,1398.6459883333266,1398.6459883333266
2001-03-07,1404.5,1404.5,231.36149769885233,231.36149769885233,1398.7040517432658,1398.7040517432658
2001-03-08,1404.5,1404.5,231.42704075209795,231.42704075209795,1398.7779918668343,1398.7779918668343
2001-03-09,1404.5,1404.5,231.49376182075918,231.49376182075918,1398.8569218146913,1398.8569218146913
2001-03-10,1404.5,1404.5,231.56034399618994,231.56034399618994,1398.9528413759376,1398.9528413759376
2001-03-11,1404.5,1404.5,231.60818835945508,231.60818835945508,1399.0111335914999,1399.0111335914999
2001-03-12,1404.5,1404.5,231.6526183520407,231.6526183520407,1399.0698613357522,1399.0698613357522
2001-03-13,1404.5,1404.5,231.70110264200395,231.70110264200395,1399.1497245977005,1399.1497245977005
2001-03-14,1404.5,1404.5,231.7447431413992,231.7447431413992,1399.243902043816,1399.243902043816
2001-03-15,1404.5,1404.5,231.79264751596924,231.79264751596924,1399.3573071414057,1399.3573071414057
2001-03-16,1404.5,1404.5,231.8418970166974,231.8418970166974,1399.4864819992295,1399.4864819992295
2001-03-17,1404.5,1404.5,231.88319450528593,231.88319450528593,1399.6144029492111,1399.6144029492111
2001-03-18,1404.5,1404.5,231.92513650196037,231.92513650196037,1399.7740773266366,1399.7740773266366
2001-03-19,1404.5,1404.5,231.9761033412209,231.9761033412209,1399.9726138017338,1399.972613801734
2001-03-20,1404.5,1404.5,232.16841353967914,232.16841353967914,1399.50022916238,1399.50022916238
2001-03-21,1404.5,1404.5,232.48631968902882,232.48631968902882,1398.3420486541304,1398.3420486541304
2001-03-22,1404.5,1404.5,233.04258504452733,233.04258504452733,1395.5790176329497,1395.5790176329497
2001-03-23,1404.5,1404.5,234.05720761922052,234.05720761922052,1388.987127482843,1388.987127482843
2001-03-24,1404.5,1404.5,235.3594326509355,235.3594326509355,1377.8801687763714,1377.8801687763714
2001-03-25,1404.5,1404.5,235.4523800324441,235.4523800324441,1377.8801687763714,1377.8801687763714
2001-03-26,1404.5,1404.5,235.5258234606406,235.5258234606406,1377.8801687763714,1377.8801687763714
2001-03-27,1404.5,1404.5,235.54524236747164,235.54524236747164,1378.2095204149537,1378.2095204149537
2001-03-28,1404.5,1404.5,235.56400141003564,235.56400141003564,1378.6569652645233,1378.6569652645233
2001-03-29,1404.5,1404.5,235.58446341158916,235.58446341158916,1379.2942310944557,1379.2942310944557
2001-03-30,1404.5,1404.5,235.60233857218174,235.60233857218174,1379.961093262152,1379.961093262152
2001-03-31,1404.5,1404.5,235.62072612523076,235.62072612523076,1380.6709673462701,1380.6709673462701
2001-04-01,1404.5,1404.5,235.64706412676435,235.64706412676435,1381.5328237133501,1381.5328237133501
2001-04-02,1404.5,1404.5,235.65878943530515,235.65878943530515,1382.2118507203375,1382.2118507203375
2001-04-03,1404.5,1404.5,235.63790738836187,235.63790738836187,1382.7874050370042,1382.7874050370042
2001-04-04,1404.5,1404.5,235.60916383416992,235.60916383416992,1383.167749464979,1383.167749464979
2001-04-05,1404.5,1404.5,235.56603088126303,235.56603088126303,1383.535967218042,1383.535967218042
2001-04-06,1404.5,1404.5,235.5352389972483,235.5352389972483,1383.8855301828112,1383.8855301828112
2001-04-07,1404.5,1404.5,235.54765302359178,235.54765302359178,1384.2761365406147,1384.2761365406147
2001-04-08,1404.5,1404.5,235.54090333393216,235.54090333393216,1384.6117447862443,1384.6117447862443
2001-04-09,1404.5,1404.5,235.51218288055978,235.51218288055978,1384.9251511137816,1384.9251511137816
2001-04-10,1404.5,1404.5,235.47510541075843,235.47510541075843,1385.236899206926,1385.236899206926
2001-04-11,1404.5,1404.5,235.4505010351761,235.4505010351761,1385.5492000447925,1385.5492000447925
2001-04-12,1404.5,1404.5,235.42631291892167,235.42631291892167,1385.8769777382704,1385.8769777382704
